15:23:30.218 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.224 INFO    thonny: TIME/MODS 0.007 Sending message ProgramOutput 
15:23:30.225 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.226 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.227 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.228 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.228 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.242 INFO    thonny: TIME/MODS 0.013 Sending message ProgramOutput 
15:23:30.243 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.244 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.245 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.245 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.246 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.257 INFO    thonny: TIME/MODS 0.011 Sending message ProgramOutput 
15:23:30.258 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.258 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.259 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.260 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.260 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.298 INFO    thonny: TIME/MODS 0.038 Sending message ProgramOutput 
15:23:30.299 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.300 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.301 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.302 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.303 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.305 INFO    thonny: TIME/MODS 0.002 Sending message ProgramOutput 
15:23:30.306 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.307 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.308 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.309 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.310 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.323 INFO    thonny: TIME/MODS 0.013 Sending message ProgramOutput 
15:23:30.323 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.324 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.325 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.326 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.326 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.340 INFO    thonny: TIME/MODS 0.014 Sending message ProgramOutput 
15:23:30.340 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.341 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.342 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.343 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.343 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.363 INFO    thonny: TIME/MODS 0.019 Sending message ProgramOutput 
15:23:30.363 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.364 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.365 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.366 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.367 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.378 INFO    thonny: TIME/MODS 0.011 Sending message ProgramOutput 
15:23:30.379 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.379 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.380 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.381 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.381 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.403 INFO    thonny: TIME/MODS 0.021 Sending message ProgramOutput 
15:23:30.404 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.405 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.405 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.407 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.407 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.428 INFO    thonny: TIME/MODS 0.021 Sending message ProgramOutput 
15:23:30.429 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.430 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.431 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.431 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.432 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.445 INFO    thonny: TIME/MODS 0.013 Sending message ProgramOutput 
15:23:30.445 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.446 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.447 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.447 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.448 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.465 INFO    thonny: TIME/MODS 0.017 Sending message ProgramOutput 
